,ECG_P_Onsets,ECG_P_Peaks,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Onsets,ECG_T_Peaks,ECG_T_Offsets,ECG_R_Offsets
4683,0.0,0.11299435028248817,0.19774011299435054,0.29943502824858637,0.37288135593220645,0.49152542372881575,0.751412429378529,0.8870056497175118,1.0,0.5423728813559312
4684,0.0,0.11299435028248817,0.19774011299435054,0.30508474576271255,0.3785310734463276,0.49152542372881575,0.751412429378529,0.892655367231638,1.0,0.5423728813559312
4685,0.0,0.11235955056180039,0.19662921348314694,0.30337078651685556,0.37640449438202356,0.4831460674157322,0.7471910112359553,0.8876404494382046,1.0,0.5337078651685431
4686,0.0,0.11235955056180039,0.19662921348314694,0.30337078651685556,0.37640449438202356,0.488764044943819,0.7471910112359553,0.8820224719101128,1.0,0.5393258426966299
4687,0.0,0.11235955056179983,0.19662921348314596,0.29213483146067554,0.3651685393258432,0.4831460674157298,0.7471910112359517,0.8820224719101084,1.0,0.5337078651685404
4688,0.0,0.111731843575417,0.19553072625697976,0.30167597765362886,0.3743016759776509,0.4916201117318457,0.7541899441340796,0.888268156424583,1.0,0.5418994413407814
4689,0.0,0.11235955056180039,0.19662921348314694,0.30337078651685556,0.37640449438202356,0.488764044943819,0.7528089887640471,0.8932584269662914,1.0,0.5393258426966299
4690,0.0,0.1123595505617954,0.19662921348314694,0.30898876404494235,0.38202247191011035,0.488764044943819,0.7528089887640421,0.8932584269662914,1.0,0.5393258426966299
4691,0.0,0.111731843575417,0.19553072625697976,0.3072625698324017,0.37988826815642374,0.4860335195530729,0.7541899441340796,0.8938547486033509,1.0,0.5363128491620085
4692,0.0,0.15384615384615355,0.26153846153846133,0.34615384615384603,0.43076923076923074,0.5692307692307693,0.8230769230769229,0.923076923076923,1.0,0.6307692307692304
4693,0.0,0.1418439716312058,0.24822695035461012,0.319148936170213,0.3971631205673762,0.5673758865248224,0.7588652482269501,0.8439716312056736,1.0,0.6312056737588649
4694,0.0,0.14598540145985414,0.2554744525547447,0.32846715328467097,0.4160583941605835,0.4890510948905105,0.7810218978102188,0.8686131386861313,1.0,0.5328467153284667
4695,0.0,0.13533834586466104,0.24812030075187927,0.33082706766917264,0.40601503759398483,0.48872180451127817,0.796992481203008,0.8796992481203014,1.0,0.518796992481203
4696,0.0,0.1328125000000001,0.23437499999999933,0.3203125000000003,0.4218749999999995,0.5078125000000004,0.8203125000000007,0.9140625000000008,1.0,0.5312499999999996
4697,0.0,0.12030075187969935,0.21052631578947387,0.30827067669172875,0.40601503759398533,0.5563909774436094,0.7819548872180457,0.8721804511278186,1.0,0.6240601503759395
4698,0.0,0.11851851851851862,0.2222222222222224,0.3111111111111114,0.3925925925925921,0.46666666666666623,0.7777777777777776,0.8592592592592583,1.0,0.5037037037037041
4699,0.0,0.1269841269841272,0.24603174603174557,0.3333333333333339,0.4206349206349205,0.507936507936507,0.8253968253968251,0.9206349206349205,1.0,0.5396825396825389
4700,0.0,0.14084507042253386,0.22535211267605512,0.33098591549295747,0.4014084507042252,0.5422535211267606,0.7605633802816898,0.8521126760563386,1.0,0.6056338028169008
4701,0.0,0.11904761904761837,0.23809523809523853,0.3253968253968251,0.41269841269841345,0.6031746031746043,0.8095238095238092,0.9126984126984135,1.0,0.6507936507936519
4702,0.0,0.1438848920863313,0.25179856115107896,0.3237410071942446,0.4028776978417276,0.47482014388489163,0.7697841726618699,0.8561151079136687,1.0,0.5035971223021579
4703,0.0,0.14062499999999828,0.2578124999999991,0.3281249999999983,0.4296874999999974,0.5156249999999982,0.8281249999999982,0.9140624999999991,1.0,0.5390624999999991
4704,0.0,0.14084507042253544,0.2464788732394378,0.30985915492957794,0.4014084507042252,0.5422535211267606,0.7605633802816913,0.8380281690140866,1.0,0.5915492957746488
4705,0.0,0.1297709923664117,0.24427480916030597,0.3129770992366412,0.4122137404580146,0.5419847328244263,0.7862595419847322,0.8931297709923678,1.0,0.5877862595419854
4706,0.0,0.14173228346456554,0.22834645669291312,0.3464566929133867,0.42519685039370014,0.5826771653543305,0.8267716535433084,0.9370078740157479,1.0,0.6456692913385826
4707,0.0,0.1407407407407386,0.2518518518518508,0.3185185185185168,0.41481481481481586,0.48888888888888843,0.7925925925925921,0.8740740740740746,1.0,0.5185185185185182
4708,0.0,0.14492753623188429,0.25362318840579834,0.3405797101449289,0.4130434782608694,0.5652173913043503,0.7681159420289884,0.8623188405797123,1.0,0.608695652173914
4709,0.0,0.14179104477612048,0.2537313432835809,0.3358208955223878,0.41791044776119474,0.49253731343283497,0.7910447761194026,0.8805970149253729,1.0,0.5597014925373118
4710,0.0,0.1226993865030674,0.21472392638036863,0.28220858895705364,0.3496932515337414,0.4110429447852765,0.8098159509202448,0.8957055214723907,1.0,0.42944785276073455
4711,0.0,0.10526315789473575,0.18128654970760333,0.27485380116958924,0.3274853801169597,0.46783625730994244,0.7836257309941522,0.9298245614035087,1.0,0.49707602339181317
4712,0.0,0.08139534883720802,0.15697674418604715,0.273255813953489,0.34302325581395154,0.40697674418604524,0.7906976744186046,0.8662790697674412,1.0,0.4302325581395336
4713,0.0,0.06666666666666529,0.16666666666666619,0.21999999999999958,0.30666666666666564,0.42000000000000137,0.7866666666666664,0.8999999999999991,1.0,0.4800000000000007
4714,0.0,0.09210526315789354,0.1710526315789464,0.1973684210526307,0.2828947368421039,0.3815789473684207,0.7500000000000008,0.8552631578947378,1.0,0.4407894736842096
4715,0.0,0.07594936708860771,0.16455696202531528,0.18354430379746792,0.26582278481012556,0.4050632911392383,0.7088607594936691,0.8481012658227846,1.0,0.4556962025316434
4716,0.0,0.08928571428571494,0.14880952380952314,0.20238095238095372,0.27976190476190543,0.4226190476190483,0.708333333333334,0.8571428571428571,1.0,0.47619047619047616
4717,0.0,0.07361963190184063,0.14723926380368127,0.22699386503067462,0.30061349693251527,0.44785276073619656,0.7975460122699362,0.877300613496935,1.0,0.5030674846625763
4718,0.0,0.08333333333333466,0.17261904761904695,0.20238095238095105,0.27976190476190804,0.39880952380952445,0.7797619047619054,0.8571428571428571,1.0,0.41666666666666796
4719,0.0,0.07738095238095213,0.1666666666666649,0.21428571428571278,0.2916666666666649,0.43452380952380854,0.7797619047619042,0.8571428571428564,1.0,0.48809523809523936
