,ECG_P_Onsets,ECG_P_Peaks,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Onsets,ECG_T_Peaks,ECG_T_Offsets,ECG_R_Offsets
3571,0.0,0.13333333333333344,0.24444444444444383,0.25925925925925863,0.340740740740741,0.41481481481481514,0.8148148148148139,1.0,1.0,0.48148148148148107
3572,0.0,0.12345679012345696,0.21604938271604898,0.2283950617283947,0.2962962962962967,0.36419753086419737,0.6975308641975312,0.8518518518518516,1.0,0.40740740740740794
3573,0.0,0.13513513513513514,0.23648648648648724,0.24324324324324326,0.32432432432432434,0.3918918918918919,0.7567567567567568,0.9256756756756749,1.0,0.45270270270270346
3574,0.0,0.13333333333333353,0.23333333333333145,0.24666666666666628,0.32000000000000045,0.3933333333333317,0.7533333333333337,0.9199999999999999,1.0,0.45333333333333403
3575,0.0,0.10958904109589057,0.21232876712328572,0.21917808219178114,0.3013698630136991,0.3767123287671216,0.7465753424657539,0.9178082191780821,1.0,0.4383561643835623
3576,0.0,0.14492753623188429,0.25362318840579834,0.26811594202898514,0.3550724637681157,0.4275362318840595,0.8188405797101455,1.0,1.0,0.4927536231884066
3577,0.0,0.24691358024690843,0.2716049382716026,0.2716049382716026,0.4074074074074066,0.7037037037037033,0.6913580246913534,0.7037037037037033,1.0,0.7037037037037033
3578,0.0,0.14598540145985414,0.25547445255474555,0.26277372262773746,0.343065693430658,0.42335766423357535,0.8175182481751831,1.0,1.0,0.48905109489051213
3579,0.0,0.12328767123287805,0.2260273972602759,0.2260273972602759,0.30136986301369817,0.37671232876712346,0.7465753424657515,0.9178082191780823,1.0,0.43835616438356095
3580,0.0,0.12686567164179333,0.23880597014925334,0.24626865671641668,0.32835820895522333,0.41044776119403,0.8134328358208933,1.0,1.0,0.4776119402985067
3581,0.0,0.12030075187969975,0.23308270676691575,0.2406015037593995,0.3233082706766906,0.406015037593985,0.8120300751879733,1.0,1.0,0.47368421052631526
3582,0.0,0.13333333333333203,0.24444444444444752,0.2518518518518508,0.3333333333333333,0.41481481481481586,0.8148148148148184,1.0,1.0,0.4814814814814851
3583,0.0,0.1212121212121208,0.23484848484848153,0.23484848484848153,0.3257575757575755,0.4015151515151493,0.8106060606060587,1.0,1.0,0.4696969696969698
3584,0.0,0.17857142857142874,0.31249999999999983,0.5803571428571429,0.6339285714285715,0.6875000000000002,0.9017857142857142,0.9464285714285714,1.0,0.7500000000000002
3585,0.0,0.18518518518518529,0.32407407407407374,0.5925925925925923,0.6481481481481479,0.8333333333333333,0.9074074074074073,0.9537037037037037,1.0,0.9166666666666666
3586,0.0,0.17699115044247804,0.3097345132743366,0.5929203539823005,0.6460176991150439,0.6725663716814156,0.9115044247787609,0.9557522123893805,1.0,0.7522123893805307
3587,0.0,0.17857142857142858,0.3125,0.5803571428571429,0.6339285714285714,0.8303571428571429,0.9017857142857143,0.9464285714285714,1.0,0.9107142857142857
3588,0.0,0.17699115044247804,0.3097345132743356,0.5840707964601776,0.637168141592921,0.6637168141592917,0.902654867256638,0.9469026548672566,1.0,0.7433628318584078
3589,0.0,0.17857142857142894,0.3124999999999996,0.5982142857142859,0.6517857142857146,0.6785714285714279,0.9017857142857151,0.9464285714285713,1.0,0.758928571428572
3590,0.0,0.17857142857142858,0.312499999999999,0.5803571428571419,0.6339285714285704,0.8303571428571419,0.9017857142857133,0.9464285714285714,1.0,0.9107142857142857
3591,0.0,0.17543859649122806,0.3070175438596501,0.5877192982456131,0.6403508771929814,0.6666666666666666,0.9035087719298236,0.9473684210526315,1.0,0.7456140350877183
3592,0.0,0.17543859649122806,0.3070175438596501,0.587719298245615,0.6403508771929834,0.6666666666666666,0.9035087719298255,0.9473684210526315,1.0,0.7456140350877203
3593,0.0,0.18181818181818218,0.31818181818181984,0.581818181818183,0.6363636363636356,0.8363636363636381,0.909090909090911,0.9545454545454555,1.0,0.918181818181819
3594,0.0,0.17543859649122842,0.3070175438596468,0.5964912280701766,0.6491228070175432,0.8421052631578964,0.9122807017543877,0.9561403508771938,1.0,0.9210526315789482
3595,0.0,0.17857142857142858,0.312500000000001,0.5892857142857123,0.6428571428571429,0.8303571428571419,0.9107142857142837,0.9553571428571399,1.0,0.8928571428571429
3596,0.0,0.18018018018018,0.315315315315316,0.594594594594596,0.648648648648648,0.864864864864864,0.9009009009009,0.945945945945948,1.0,0.945945945945948
3597,0.0,0.17543859649122773,0.3070175438596495,0.5877192982456139,0.6403508771929802,0.8333333333333327,0.9035087719298238,0.9473684210526298,1.0,0.9122807017543841
3598,0.0,0.17699115044247804,0.3097345132743376,0.5840707964601796,0.637168141592921,0.8318584070796488,0.90265486725664,0.9469026548672586,1.0,0.9115044247787629
3599,0.0,0.17699115044247804,0.3097345132743376,0.5840707964601756,0.637168141592921,0.6637168141592897,0.9026548672566361,0.9469026548672547,1.0,0.7433628318584078
3600,0.0,0.1388888888888889,0.24305555555555633,0.2708333333333341,0.319444444444446,0.3888888888888889,0.7777777777777778,0.840277777777777,1.0,0.4513888888888881
3601,0.0,0.12269938650306773,0.2147239263803665,0.3190184049079761,0.39877300613496947,0.45398773006134924,0.6993865030674847,0.8527607361963188,1.0,0.509202453987729
3602,0.0,0.12269938650306773,0.21472392638036922,0.306748466257668,0.38650306748466406,0.4417177914110411,0.6993865030674875,0.8527607361963188,1.0,0.49693251533742366
3603,0.0,0.12195121951219275,0.2134146341463427,0.3170731707317055,0.39634146341463183,0.4512195121951218,0.7012195121951246,0.8536585365853655,1.0,0.5060975609756118
3604,0.0,0.1234567901234597,0.21604938271605037,0.3024691358024716,0.38271604938271797,0.43827160493827017,0.6975308641975339,0.8518518518518516,1.0,0.49382716049382785
3605,0.0,0.20618556701030952,0.2886597938144333,0.2886597938144333,0.40206185567010355,0.6494845360824738,0.6907216494845357,0.7525773195876286,1.0,0.7422680412371131
3606,0.0,0.07792207792207798,0.14285714285714224,0.2922077922077917,0.3766233766233762,0.42857142857142816,0.6818181818181809,0.844155844155844,1.0,0.4870129870129866
3607,0.0,0.06338028169014016,0.16901408450704253,0.2253521126760567,0.3169014084507039,0.3732394366197181,0.654929577464789,0.8309859154929575,1.0,0.4366197183098583
3608,0.0,0.12738853503184722,0.22292993630573335,0.29936305732484025,0.38216560509554165,0.43312101910828055,0.687898089171975,0.8471337579617834,1.0,0.4904458598726111
