ECG_P_Onsets	ECG_P_Peaks	ECG_P_Offsets	ECG_Q_Peaks	ECG_R_Peaks	ECG_S_Peaks	ECG_T_Onsets	ECG_T_Peaks	ECG_T_Offsets	ECG_R_Offsets	label
0	0.145985401459854	0.255474452554746	0.357664233576642	0.445255474452554	0.576642335766425	0.642335766423358	0.824817518248175	1	0.642335766423358	2
0	0.162601626016261	0.284552845528453	0.373983739837398	0.479674796747966	0.54471544715447	0.601626016260162	0.804878048780487	1	0.61788617886179	2
0	0.0860927152317875	0.172185430463575	0.271523178807947	0.350993377483444	0.410596026490066	0.675496688741722	0.841059602649006	1	0.470198675496688	3
0	0.0752688172043012	0.139784946236558	0.344086021505376	0.397849462365591	0.451612903225806	0.741935483870967	0.876344086021505	1	0.5	4
0	0.144927536231881	0.253623188405798	0.355072463768112	0.449275362318836	0.550724637681157	0.666666666666665	0.847826086956522	1	0.601449275362314	5
0	0.132450331125828	0.225165562913906	0.364238410596025	0.450331125827816	0.596026490066225	0.688741721854306	0.854304635761591	1	0.655629139072847	2
0	0.140845070422534	0.246478873239436	0.295774647887323	0.387323943661972	0.443661971830986	0.894366197183099	1	1	0.507042253521126	4
0	0.00775193798449527	0.124031007751938	0.395348837209302	0.457364341085271	0.612403100775193	0.620155038759689	0.813953488372093	1	0.682170542635658	2
0	0.155038759689923	0.240310077519377	0.240310077519377	0.333333333333331	0.387596899224805	0.643410852713176	0.837209302325582	1	0.457364341085269	3
0	0.162162162162163	0.297297297297297	0.351351351351351	0.423423423423424	0.504504504504506	0.585585585585586	0.810810810810811	1	0.585585585585586	5
0	0.0975609756097564	0.0975609756097564	0.105691056910568	0.211382113821137	0.357723577235773	0.796747967479675	1	1	0.43089430894309	1
0	0.147286821705426	0.209302325581396	0.356589147286821	0.434108527131782	0.511627906976744	0.682170542635659	0.875968992248062	1	0.542635658914728	5
0	0.135135135135135	0.195945945945945	0.432432432432432	0.506756756756756	0.554054054054054	0.695945945945945	0.864864864864865	1	0.614864864864864	2
